,file_name,count,Point,Percent,TFIDF
4828,Eltel_HSE_Policy.pdf,4806,0,0.26%,0.0
4829,Merck___Co.__Inc._20172018_Corporate_Responsibility_Report_%28CUSTOM%29_0.9.2018.pdf,34421,34,1.55%,2.8735244660769563
4830,EPOS_UNGC_CoP_2012_complete.pdf,9604,1,0.42%,1.0
4831,Swarovski_UNGC_CoP_2015.pdf,12478,0,0.38%,0.0
4832,SBAB_AR_2017_ENG.pdf,514297,24,0.57%,2.121320343559642
4833,2017_CSR_Report_for_UNGC.pdf,23474,6,1.61%,1.4142135623730951
4834,DNF2018_GruppoFerragamo_eng.pdf,179899,7,0.32%,1.5275252316519468
4835,UN_Global_Compact_Communication_on_Progress_WYG.pdf,27685,5,1.03%,1.5075567228888185
4836,Saur_RI_2019_EN.pdf,114492,37,0.78%,1.704870007061138
4837,KP2104302020 Sustainability ReportFINAL.pdf,90714,10,0.58%,1.5811388300841895
4838,Informe sostenibilidad 2020 Ence_v10_verif_EN %28revisado%29.pdf,536534,134,0.64%,2.2089245858758866
4839,GANNI_SUSTAINABILITY_REPORT_2018.pdf,17961,6,0.67%,1.1766968108291045
4840,TTS_VTC_COP___2018.pdf,10189,0,0.3%,0.0
4841,Brambles_UNGC_COP_FY17_-_FY18.pdf,5128,0,0.18%,0.0
4842,GSK-CR-2010-Report.pdf,5530,2,0.6%,1.0
4843,ESI_Group_COP_2020.pdf,58566,1,0.28%,1.0
4844,COP_2017_Final.pdf,809,0,0.0%,0.0
4845,Communication_on_Progress_GEOLOG_2018.pdf,27759,10,0.79%,2.23606797749979
4846,kungsleden-2016-annual-and-sustainability-report-20160404.pdf,343934,6,0.41%,1.7320508075688774
4847,United_Nations_Global_Compact_-_2017.pdf,11968,2,0.49%,1.414213562373095
4848,Adare_International_Communication_on_Progress_April_2018.pdf,269,0,0.0%,0.0
4849,05.02.2014_CSR_REPORT_2013_-_FEB_2014.pdf,55016,7,0.45%,1.150792911137501
4850,APL_SustainabilityReport_2016-17.pdf,228558,51,0.9%,2.479704855464207
